date,label,daily_pnl_usd,tp_hit,sl_hit,trades_count,anchor_price_10am,atr14_m5,atr_ratio_20d,morning_range_pts,morning_trend_pts,directional_intensity,range_to_atr_ratio,trend_to_atr_ratio,morning_vol_std,day_of_week
2022-12-29,trade,7.46,True,False,1,1807.625,0.746,0.759,5.711,4.128,0.723,7.658,5.536,0.145,3
2022-12-30,trade,7.27,True,False,1,1817.827,0.727,0.765,4.402,3.78,0.859,6.056,5.2,0.121,4
2023-01-03,trade,13.91,False,False,2,1838.225,1.812,1.819,16.578,11.388,0.687,9.151,6.286,0.295,1
2023-01-04,trade,9.4,True,False,1,1845.675,0.94,0.955,9.93,6.878,0.693,10.561,7.315,0.181,2
2023-01-05,skip,-53.94,False,False,6,1856.755,1.089,1.111,5.487,2.608,0.475,5.039,2.395,0.18,3
2023-01-06,trade,10.91,True,False,1,1838.278,1.091,1.113,10.203,8.236,0.807,9.354,7.551,0.159,4
2023-01-09,trade,-8.56,False,False,1,1879.068,1.257,1.261,14.858,11.531,0.776,11.818,9.172,0.232,0
2023-01-10,trade,-5.3,False,False,1,1872.715,1.15,1.142,8.17,2.208,0.27,7.104,1.92,0.193,1
2023-01-11,skip,-26.3,False,False,3,1874.905,0.907,0.904,6.477,1.792,0.277,7.144,1.977,0.172,2
2023-01-12,trade,11.06,True,False,1,1883.655,1.106,1.078,10.427,8.658,0.83,9.428,7.828,0.155,3
2023-01-13,trade,-15.05,False,False,2,1898.035,1.004,0.967,6.058,2.738,0.452,6.035,2.728,0.184,4
2023-01-16,skip,-100.47,False,False,4,1928.245,1.514,1.425,12.19,7.908,0.649,8.051,5.223,0.226,0
2023-01-17,trade,14.41,True,False,1,1910.555,1.441,1.335,9.54,4.282,0.449,6.618,2.971,0.241,1
